original,translate
"If they’re not filling the bellies of the upper-class, these slippery sea-creatures are being harvested for their ebony coloured ink","If they’re not filling the bellies of the upper-class, these slippery sea-creatures are being harvested for their ebony coloured ink"
Sugar,Sugar
"Due to its rarity, this sweet ingredient is usually only found in the kitchens of noble and middle-class households where it is typically used to make glorious pastries and confections","Due to the intensive and costly procedure involved its purification, fine sugar is a rarity, its sweetness reserved only for the kitchens of noble and middle-class households where it is typically used as an ingredient in glorious pastries and confections"
Beef,Beef
"A favorite on many a noble’s table, this thick cut of meat is as rich in iron as it is in flavor","A favourite on the table of many a nobleman, this thick cut of meat is as rich in iron as it is in flavour"
Warberries,Warberries
Rich harvests from the warberry bush is said to portend war,Rich harvests from the warberry bush is said to portend war
These tart berries are often used to make jams or other preserves in case food should become scarce,These tart berries are often used to make jams or other preserves in case food should become scarce
Ombarian Wine,Ombarian Wine
Fine wine imported from the vinyards of the Ombaria,Fine wine imported from the vineyards of the Ombaria
Rumors abound of grape harvests failing due to drought in the Heartlands and wine is currently hard to come by,"Rumours abound of grape harvests failing due to drought in the Heartlands, making wine currently hard to come by"
#Adventuring Items,#Adventuring Items
Crowbar,Crowbar
An iron crowbar,An iron crowbar
Perfect for breaking and entering,Perfect for breaking and entering
Lantern,Lantern
A small lantern,A small lantern
Press 'T' to equip it whilst exploring,Press 'T' to equip it whilst exploring
Thieves' Tools,Thieves' Tools
Tools used for lockpicking,Tools used for lock-picking
You lose a few each time you pick a lock so take care to gather a supply,"They tend to break in locks when picking them, so having a reserve supply might be worthwhile"
Pickaxe,Pickaxe
A pickeaxe used for mining,A pickaxe used for mining
In the right hands it could be used as a weapon,"In the right hands, it could be used as a weapon"
Rope,A coil of rope
A 20-foot coil of hemp rope,A 20-foot coil of hemp rope
Indispensable for spelunkers and mountaineers,Indispensable for spelunkers and mountaineers
Sewer Map,Sewer Map
A hand-drawn map depicting the sewers underneath Horryn,A hand-drawn map depicting the sewers underneath Horryn
Shovel,A shovel
Used for digging in the ground!,Used for digging in the ground!
#Adventuring - Books,#Adventuring - Books
Astronomer's Journal,Astronomer's Journal
"A small, well-used journal","A small, well-used journal"
The journal contains a large amount of tabulated data that appears to be astrological in nature interspersed with notes,"The journal contains a large amount of tabulated data, interspersed with notes, that appears to be astrological in nature"
The final entries appear to have been made only days before your arrival,"The final entries appear to have been made shortly before your arrival, only days prior"
Observed strange dancing lights in the sky,Observed strange dancing lights in the sky
Not unlike those sailors to the far south describe near polar regions yet somehow different,"Not unlike those which sailors state witnessing to the far south, near the polar regions, yet somehow, these are different"
Colors indescribable - Mesmerizing,Colours indescribable - mesmerising
For a fleeting moment I even thought I heard a sound,"For a fleeting moment, I even thought I heard a sound"
Somewhere between a deep wail and singing,"somewhere between a deep, plaintive wail and singing"
Could not perform observations tonight,Could not perform observations tonight
Charts or instruments are off and I cannot make sense of the sky,"Charts or instruments are off, and I cannot make sense of the sky"
There are bodies there,There are bodies there
Bodies that are alien to me,bodies that are alien to me
It must be some form of comet storm or some other extraordinary astronomical event that has not been predicted in the Imperial Charts,"It must be a comet storm of sorts, or some other extraordinary astronomical event that has not been predicted in the Imperial Charts"
They are wrong!,They are wrong!
I have done the calculations over and over and I come to the same conclusion,I have double-checked the calculations repeatedly and still come to the same conclusion
The stars are wrong - in so many ways!,the stars are wrong - in so many ways!
"As I observed an alien cluster in the southeastern quadrant, it dawned on me with absolute certainty","As I observed an alien cluster in the south-eastern quadrant, it dawned on me with absolute certainty"
I am not watching them - they are watching me,I am not watching them - they are watching me
I dread to look again yet I feel compelled to do so,"I dread to look again, yet I feel compelled to do so"
They beckon me,They beckon me
I am certain that if I look again into that dreadful cluster in the southeastern quadrant I shall be undone,"I am certain that if I peer once more into that dreadful, south-eastern cluster I shall be undone"
Yet there are answers there,Yet there are answers there
Deeper and more profound than any mortal mind can comprehend,Deeper and more profound than any mortal mind can comprehend
I believe I shall look again,I believe I shall look again
I must,I must
Origins of the Legionnaire’s Rest,Origins of the Legionnaire’s Rest
"A small, generic book of lore","A small, generic book of folklore"
Fawlon’s Treatise on the Origins of Imperial Fauna Excerpt,Fawlon’s Treatise on the Origins of Imperial Fauna Excerpt
Legionnaire’s Rest,Legionnaire’s Rest
Colours indescribable - Mesmerising,"Records state the battle of Diagolo pass raged for three days and when it was over, more lives had been lost than saved"
"It was a time of great sorrow, but from this calamity, new life blossomed","It was a time of great sorrow, but from this calamity, new life blossomed"
For from the soil beneath which the lost legions lay an abundance of crimson red flowers sprouted forth,For from the soil beneath which the lost legions lay an abundance of crimson red flowers sprouted forth
"Flowers that, it is said, will only grow upon the graves of those fallen in battle","Flowers that, it is said, will only grow upon the graves of those fallen in battle"
Folk Poetry of the North,Folk Poetry of the North
Volume,Volume
THE RIVEMAN'S RHYME,THE RIVERMAN'S RHYME
"To the river I will go,","To the river I shall go,"
"To soothe a heart that’s full of woe,",To soothe this heart full of woe.
For in the water’s cool embrace,"For in the water's cool embrace,"
My true self I will face,There I shall find my true face.
FOLK LITANY OF THE DEAD,FOLK LITANY OF THE DEAD
"Bathe the flesh,","Bathe the flesh,"
Mend the bone,Mend the bone;
"Then lay the body,","Lay the body,"
Beneath the stone,Under stone.
AN ODE TO THE POTATO,AN ODE TO THE POTATO
"Oh, how blessed we’ll be,","Oh, how blessed we will be,"
"To taste your earthy bliss,",To taste your earthy bliss.
When we have sown our fields,We labour and till the land; call to the Maidens with raised hand:
And planted your seeds,And having heard our plea
And awaited rain’s gentle kiss,We feel the rain's soft kiss
Postscript,Postscript
"For context and comaprison, I have taken the opportunity of adding the transcript of a fruit farmer's tirade to the local magistrate on the issue of the potatoe-related agricultural reforms","For context and comparison, I have taken the opportunity of adding the transcript of a fruit farmer's tirade to the local magistrate on the issue of the potato related agricultural reforms"
If I receive one more decree commanding me to re-sow my fruit orchards into bloody potato fields!,If I receive one more decree commanding me to re-sow my fruit orchards into bloody potato fields!
I’m going to send him a bag full of my ripest manure!,I’m going to send him a bag full of my ripest manure!
"Bloody Magi, making a mess of the world and leaving it to us lot to clean it up!","Bloody Magi, making a mess of the world and leaving it to us lot to clean it up!"
Not on my farm!,Not on my farm!
They can shove their bloody seed-potatoes up their sacred arses for all I bleeding care!,They can shove their bloody seed-potatoes up their sacred arses for all I bleeding care!
Origins of the Sorroweater,Origins of the Sorroweater
Sorrow-Eater,Sorrow-Eater
"In the year of 641 GA, after the lay-Countess of Vaul lost her firstborn to dry lung, it is rumored that she locked herself up in her chambers to wallow in her grief","In 641 GA the lay-Countess of Vaul lost her firstborn to dry lung, and was rumoured to have locked herself in her chambers to wallow in grief"
"One of the lay-Countess's most important offices was as head of the High Forum, and thus, fearing her absence would cause much unrest amongst nobility, the countess’ majordomo sought help from a wise old crone","An important office of hers was as head of the High Forum, and thus, fearing her absence would cause unrest amongst nobility, the countess's majordomo sought help from a wise old crone"
"After hearing her plea, the crone handed the countess’ majordomo a single, violet coloured flower","After hearing her plea, the crone handed the majordomo a single, violet coloured flower"
"Place this beside her bed, and to it all her sorrow shall be fed","Place this beside her bed, and to it all her sorrow shall be fed"
"Desperate, the countess’ majordomo did as the crone advised, and less than a tide later, the lay-Countess of Vaul left her chambers for the first time since the loss of her child","Desperate, the countess’s majordomo did as the crone advised, and less than a tide later, the lay-Countess of Vaul left her chambers for the first time since the loss of her child"
"The tale was quickly passed between courtiers, and ever since, the fauna - aptly named ‘Sorroweater’ - has been given as a gift in times of great sorrow","The tale was quickly passed between courtiers and ever since, the fauna - aptly named ‘Sorroweater’ - has been given as a gift in times of great sorrow"
The High Forum of 641 was indeed a great success,The High Forum of 641 was indeed a great success
"As so often when the lay-nobility conveens, much was discussed, little was decided and nothing was accomplished save gluttony, fornication and a stabbing or two","As so often when the lay-nobility conveens, much was discussed, little was decided and nothing was accomplished save gluttony, fornication and a stabbing or two"
Origins of the Starspawn,Origins of the Starspawn
Starspawn,Starspawn
"Despite its beautiful appearance, the legend on the origin of the Starflower is a grim one","Despite its beautiful appearance, the legend on the origin of the Starflower is a grim one"
"Many centuries ago, before Gallina came from the south, a fatally wounded warrior lay dying","Many centuries ago, before Gallina came from the south, a fatally wounded warrior lay dying"
He pleaded to the Gods for help just as a shooting star passed through the sky,He pleaded to the Gods for help just as a shooting star passed through the sky
"Hearing his cries and taking pity on the young man, the star descended to earth to answer his prayers","Hearing his cries and taking pity on the young man, the star descended to earth to answer his prayers"
For such was her nature,For such was her nature
"At first the soldier was grateful, but he became smitten by her beauty and soon grew lustful","At first the soldier was grateful, but he became smitten by her beauty and shortly thereafter began to grow lustful"
Then possessive and finally cruel towards the stellar being,"The soldier then became possessive of her, and finally cruel towards the stellar being"
For such was his nature,For such was his nature
"She refused him, claiming that stars belong to all who love them and the soldier went mad with rage","She refused him, claiming that stars belong to all who love them. Upon hearing this, the soldier flew into a mad rage - he strangled here, there and then."
"He strangled her then and there for if he could not have her, no one would","For if he could not have her, no one would"
"As the star’s last breath left her, her Sisters began to weep","As the star’s last breath left her, her sisters began to weep"
"In a shower of burning light, their tears fell to the earth where the star lay, immolating the man who had killed her","In a shower of burning light, their tears fell to the earth where the star lay, immolating the man who had killed her"
"When dawn finally broke and the stars withdrew, all that was left in their wake was a field of star-shaped flowers","When dawn finally broke and the stars withdrew, leaving their rosy-fingered streaks in the sky, all that remained upon Warda was a field of star-shaped flowers"
Origins of the Sunmouth,Origins of the Sunmouth
Sunmouth,Sunmouth
This bright fauna was first discovered in the province of Gorremia following one of the worst winters in the region’s history,This bright fauna was first discovered in the province of Gorremia following one of the most bitter winters in the region’s history
